,Availability,Categories,Featured,Filter Shop,Filterplayers,Game Character,Game Discription,Game Title,Game url,General Filters,No of Players,Object ID,Virtual Console,free to start,slug
10,"'New releases', 'Available now'","'Action', 'Adventure'",True,'At retail',,"'Mario', 'Zelda'","Link has washed ashore on a mysterious island with strange and colorful inhabitants. To escape the island, Link must collect magical instruments across the land and awaken the Wind Fish. Explore a reimagined Koholint Island that’s been faithfully rebuilt in a brand-new art style that will entice fans and newcomers alike. Battle enemies as you conquer numerous dungeons and uncover the hidden secrets of the island. Encounter Super Mario enemies like Goombas, Piranha Plants, and more, and interact with unique locals who help Link on his adventure. As you clear dungeons throughout the main story, earn dungeon rooms (Chambers), then arrange them into custom layouts in the all-new Chamber Dungeon. Place your dungeon entrance, Nightmare room, and everything in between as you try to fulfill objectives and play through a new dungeon. Tap compatible amiibo figures to earn more Chambers and and additional Chambers throughout the game in updated mini-games, such as the river rapids, trendy game, and fishing.
FEATURES:

As Link, explore a reimagined Koholint Island and collect instruments to awaken the Wind Fish to find a way home
Explore numerous dungeons, riddled with tricks, traps, and enemies, including some from the Super Mario series
Meet and interact with unique locals to get help on your adventure
Listen to a reawakened soundtrack that helps bring life to Koholint Island
Earn Chambers (Dungeon Rooms) and arrange them to complete objectives in the all-new Chamber Dungeon.
Complete dungeons throughout the story to earn their rooms for the Chamber Dungeon.
Earn additional chambers in mini-games and by tapping any amiibo figure featuring a Legend of Zelda character.",The Legend of Zelda: Link's Awakening,/games/detail/the-legend-of-zelda-links-awakening-switch,,1 player,9b408d17-389c-3986-8a94-ff718019969a,na,False,the-legend-of-zelda-links-awakening-switch
11,'Available now','Action',True,'At retail',"'3+', '2+', '1+'",,"When the moon tore apart, the sky bled red with light, ushering in an apocalyptic new age…and to survive, you must fight. As a mercenary, defend Earth through high-speed combat against corrupted robots in a series of missions from the cockpit of your Arsenal, a fully customizable mech. Equip your Arsenal with a vast array of parts and weapons, obtain more from downed enemy Arsenals, and swap them on the fly to suit your strategy in the face of ever-rising threats.
In this brand-new action game from Kenichiro Tsukuda (Armored Core) and mech designer Shoji Kawamori (Super Dimensional Fortress Macross), your environment is your ally. Collect and use Femto Energy on the field to boost your stats and create powerful mirages; or wield objects like cars and street signs as melee weapons and projectiles. For even more power, upgrade your physical combat abilities and learn new skills through body modification. It’ll also come in handy when you eject from your Arsenal and fight on foot using special weapons and abilities.


Defend Earth through high-speed mech combat against corrupted robots&nbsp;

Kenichiro Tsukuda, well known for his work developing the Armored Core series, and his talented team have developed this brand-new title with the goal of making it “the best mech action game” out there
The player’s avatar and Arsenal are fully customizable with a variety of options
Defeated enemies may drop ammo and weapons, which the player can obtain and use on the fly
Squad up with three other players* to destroy titanic bosses in online** Co-op mode
Mech designs created by Mr. Kawamori, who also worked on the Armored Core series and the Super Dimension Fortress Macross series",DAEMON X MACHINA,/games/detail/daemon-x-machina-switch,"'Nintendo Switch Game Voucher', 'DLC available', 'Demo available', 'Online Play via Nintendo Switch Online'",up to 4 players,2a6eb086-f461-3ea9-87f8-34c28aee80a7,na,False,daemon-x-machina-switch
12,'Available now',"'Multiplayer', 'Puzzle'",True,'At retail',"'4+', '3+', '2+', '1+'",,"Use your skills and strategy to knock out the competition online and become the last player standing. With this purchase, you’ll also receive a 12-month membership to Nintendo Switch Online, and members can look forward to competing in upcoming online events* to earn in-game themes or even My Nintendo Gold Points!
In 99 Battle mode, you can target opponents by sending them Garbage Blocks, but be careful… Your rivals can target you back! Defeat opponents to acquire K.O. Badges that may give you the advantage on future attacks. More of a traditionalist? Then see how long you can last offline in the single-player Marathon mode. While offline, you can take on 98 CPU players all by yourself, take on 97 CPU opponents with a friend on one Nintendo Switch system, or face off with up to seven other players who have their own systems and games via local wireless connection. But for the ultimate in puzzle co-op, head online* for 49 players vs. 49 players team battles; the team with the most K.O. Badges wins!&nbsp;

Includes a 12-month Nintendo Switch Online membership*
Be the last player standing in 99-player battles
Play against 98 players online*, on 49v49 teams, locally with friends (additional games and systems required; sold separately), or in Marathon mode by yourself
Strategize your moves and target opponents at random, or those who are near defeat, have the most K.O. Badges, or are targeting you
Acquire K.O. Badges by defeating opponents, to gain the advantage on future attacks
Nintendo Switch Online members can look forward to upcoming online events",Tetris 99 + 12 Month Nintendo Switch Online Individual Membership,/games/detail/tetris-99-plus-12-month-nintendo-switch-online-individual-membership-switch,'Online Play via Nintendo Switch Online',up to 99 players,b980dc8d-b1f8-3a8d-86c4-e959546a3190,na,False,tetris-99-plus-12-month-nintendo-switch-online-individual-membership-switch
13,'Available now','Other',True,,'1+',"'Mario', 'Zelda', 'Metroid', 'Kirby'","With a Nintendo Switch Online membership, gain access to a large collection of Super NES™ games that are great to play anytime, anywhere! For the first time ever, you can play these classic games online and use voice chat via the Nintendo Switch Online smartphone app*. Compete or cooperate online with friends, share your screen, or virtually pass the controller, depending on the game.
Conquer classics such as Super Mario World™, Super Metroid™, The Legend of Zelda™: A Link to the Past™. Depending on the game, you can engage in online competitive or co-op multiplayer, or take turns controlling the action. Need back up? Then team up in cooperative games like Brawl Brothers and Joe &amp; Mac 2: Lost in the Tropics. You can also compete against a friend in Super Mario Kart™, Kirby’s Dream Course™, and even Stunt Race FX™ —available for the first time since its original 1994 release! Friends can even watch each other play single-player games online, and virtually “pass the controller” at any time. Every classic Super NES game included in this collection will support voice chat via the Nintendo Switch Online smartphone app*.&nbsp;",Super Nintendo Entertainment System™ - Nintendo Switch Online,/games/detail/super-nintendo-entertainment-system-nintendo-switch-online,'Online Play via Nintendo Switch Online',up to 2 players,59522a4e-2d28-3f7f-8171-acc928ca13ba,na,True,super-nintendo-entertainment-system-nintendo-switch-online
14,'Available now','Action',True,,"'3+', '2+', '1+'",'Kirby',"To defeat bosses this wicked, it’ll take a whole team of Kirbys! In this free-to-start multiplayer* action game, you can choose from four unique Roles and join up to three other players to take down tough bosses. Puff up your power by crafting weapons and spending materials at the shop to receive even MORE weapons, not to mention armor and items. Pass a Joy-Con™ controller to a friend to play locally, and if you have a Nintendo Switch Online membership, you can even play online**!
Are you a Sword Hero? Hammer Lord? Beam Mage? Or Doctor Healmore?! No matter what, each mighty role offers up a unique way to play. Story Quest lets players team-up locally* by sharing Joy-Con controllers, while Party Quest enables users to play together on one system, via local wireless, or online**. Plus, tapping compatible amiibo™ figures/accessories&nbsp; *** will earn you extra fragments to help craft new&nbsp; &nbsp;gear! Are you ready? For Kirby, the answer is always fight and flight.",Super Kirby Clash™,/games/detail/super-kirby-clash-switch,'Online Play via Nintendo Switch Online',up to 4 players,73d8d1f8-526d-31a6-a566-c9e8eea97a85,na,True,super-kirby-clash-switch
15,'Available now','Action',True,"'At retail', 'On Nintendo.com'",'1+',,"Humanity’s last chance against an interdimensional invasion is a special living weapon called the Legion. As a rookie officer in the elite police task force Neuron, you and your Legion will work together to solve cases and save humankind.
The ASTRAL CHAIN game gives you full control over two characters at once for thrilling Synergetic Action, courtesy of PlatinumGames. Alternate between several Legion types and skills to save the world your way.
ASTRAL CHAIN features character designs by the acclaimed manga artist Masakazu Katsura (ZETMAN, Video Girl Ai), and marks the directorial debut of PlatinumGames’ Takahisa Taura (designer of NieR:Automata). Hideki Kamiya, director of the Bayonetta game and writer/supervisor of the Bayonetta 2 game, provides supervision.
FEATURES:

Players can control the protagonist and a special weapon called a Legion simultaneously, building stylish combos by using both characters in tandem
There are multiple Legions in the game, each with different combat styles and abilities. Players can even strategically change between Legions at will during real-time battles
This apocalyptic setting is full of intricate details and interesting characters, including citizens and suspects you can interact with in the city, others in the special police task force, and your twin sibling
Use the abilities of the Legion not only in battle but also for investigating cases and solving environmental puzzles
Uncover the secrets of the alternate dimension called the Astral Plane, where the mysterious invaders originate
ASTRAL CHAIN is directed by Takahisa Taura, known for his work as the game designer on NieR:Automata, and supervised by Hideki Kamiya, creator of the Bayonetta series",ASTRAL CHAIN,/games/detail/astral-chain-switch,'Nintendo Switch Game Voucher',up to 2 players,a3cdaf9a-1fca-3fc9-8ece-0ecbd1eaa2a1,na,False,astral-chain-switch
16,'Available now','Adventure',True,'At retail',,,"This special edition contains an art book packed with concept art and character artwork, CD sound selection featuring 30+ tracks including in-game music and some original arrangements, 2020 desktop calendar, steel book game case, and the game software
Display your combat readiness with this special edition of the game, which contains an art book, CD sound selection, calendar, steel book game case, and of course, the game software. In this turn-based, tactical RPG, you are invited to teach at the Officer’s Academy and lead one of its three mighty houses, each comprised of students brimming with personality. As their professor, you must guide your students in their academic lives and in battles wrought with strategic new twists to overcome. Which house, and which path, will you choose?
The game features the refined gameplay the Fire Emblem™ franchise is known for. Command a party of warriors to move and fight on a grid-based battlefield and, for the first time in the series history, assign battalions of troops to support individual units in battle. As a professor, you are responsible for teaching your students and improving their skills in their academic lives and in battle. These may be school assignments, but the stakes are very real. Your students’ lives depend on your leadership. It’s up to you to guide each of them, so that they may wield a variety of weapons, master the study of magic, and acquire special skills such as horsemanship. But there’s more to being a professor than commanding armies. Freely roam Garreg Mach Monastery and the academy within it, while interacting with talented students to build relationships and gather intel. After meeting one enigmatic girl named Sothis…you’ll come to realize that she appears only within your mind. What other mysteries await?

The Officer’s Academy is home to three houses: The Black Eagles, The Blue Lions, and The Golden Deer… Which house will you choose?
As a professor, lead students in their academic lives and on the battlefield
A turn-based, tactical RPG that puts new twists on strategic battling
For the first time in series history, battalions of troops follow individual units to support them in battle
Freely roam Garreg Mach Monastery, interact with students in a variety of ways—over lunch, even—to bond and gather intel
As a female or male professor, you’ll meet House Leaders and future rulers Edelgard, Dimitri, and Claude",Fire Emblem: Three Houses - Seasons of Warfare Edition,/games/detail/fire-emblem-three-houses-seasons-of-warfare-edition-switch,"'DLC available', 'Online Play via Nintendo Switch Online'",1 player,f325032f-2784-3ab9-a82a-4077aab9c786,na,False,fire-emblem-three-houses-seasons-of-warfare-edition-switch
17,'Available now','Adventure',True,'At retail',,,"Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?
The game features the refined gameplay the Fire Emblem™ franchise is known for. Command a party of warriors to move and fight on a grid-based battlefield and, for the first time in the series history, assign battalions of troops to support individual units in battle. As a professor, you are responsible for teaching your students and improving their skills in their academic lives and in battle. These may be school assignments, but the stakes are very real. Your students’ lives depend on your leadership. It’s up to you to guide each of them, so that they may wield a variety of weapons, master the study of magic, and acquire special skills such as horsemanship. But there’s more to being a professor than commanding armies. Freely roam Garreg Mach Monastery and the academy within it, while &nbsp;interacting with talented students to build relationships and gather intel. After meeting one enigmatic girl named Sothis…you’ll come to realize that she appears only within your mind. What other mysteries await?

The Officer’s Academy is home to three houses: The Black Eagles, The Blue Lions, and The Golden Deer… Which house will you choose?
As a professor, lead students in their academic lives and on the battlefield
A turn-based, tactical RPG that puts new twists on strategic battling
For the first time in series history, battalions of troops follow individual units to support them in battle
Freely roam Garreg Mach Monastery, interact with students in a variety of ways—over lunch, even—to bond and gather intel
As a female or male professor, you’ll meet House Leaders and future rulers Edelgard, Dimitri, and Claude",Fire Emblem: Three Houses,/games/detail/fire-emblem-three-houses-switch,"'Nintendo Switch Game Voucher', 'DLC available', 'Online Play via Nintendo Switch Online'",1 player,8860df6b-c00a-3bb0-a5b7-30076504fb40,na,False,fire-emblem-three-houses-switch
18,'Available now',"'Action', 'Role-Playing'",True,'At retail',"'3+', '2+', '1+'",,"Assemble your ultimate team of Marvel Super Heroes from a huge cast including the Avengers, Guardians of the Galaxy, X-Men, and more! Team up with friends to prevent galactic devastation at the hands of the mad cosmic tyrant Thanos and his ruthless warmasters, The Black Order. Then expand your ultimate alliance with the paid Expansion Pass, which includes upcoming DLC content from popular franchises like the Fantastic Four, X-Men, and Marvel Knights.
FEATURES:

Assemble your ultimate team of Super Heroes from the Marvel Universe, each with their unique superpowers
Super Heroes battle Thanos and The Black Order across the Marvel Universe in this new original story
Local and Online Multiplayer – The game can be played offline or online* with up to 4 players** on a single screen or using multiple systems
In addition to the series’ traditional perspective, players can also select a dynamic, zoomed-in view, allowing for a more immersive play style for single-player or multiplayer when using multiple systems
Paid Expansion Pass includes 3 DLC packs***, which will release one at a time after the launch of the MARVEL ULTIMATE ALLIANCE 3: The Black Order game and will include content from popular franchises like the Fantastic Four, X-Men, and Marvel Knights",MARVEL ULTIMATE ALLIANCE 3: The Black Order,/games/detail/marvel-ultimate-alliance-3-the-black-order-switch,"'Nintendo Switch Game Voucher', 'DLC available'",up to 4 players,b3dc1382-aafd-3c4f-be7f-c4466688098a,na,False,marvel-ultimate-alliance-3-the-black-order-switch
19,'Available now',"'Role-Playing', 'Action'",True,"'At retail', 'On Nintendo.com'","'3+', '2+', '1+'",,"To stop the worshippers of an ancient evil, you must join forces with the mysterious Malroth and build a ravaged world into the realm of your dreams. In this RPG adventure, you’ll explore huge islands, gather and craft with materials, design towns, level them up, and defend them from monsters and bosses alongside townspeople. As you progress, you’ll unearth crafting and building recipes. Dash, glide, swim, fast travel, and play in optional first-person perspective as you try to find them all. In the Isle of Awakening, you and up to three other Builders can explore together in local wireless*; or play online** together too.
FEATURES:

Go on an adventure to gather, craft, and build a fantasy world of your making and defend it from monsters.
Play and experiment to unlock crafting and building recipes in this RPG adventure filled with exploration, questing, and challenging battles
New content: fast travel, swimming, dashing, gliding, first-person perspective gameplay


Become the Builder to rebuild a ravaged world.
Choose a female or male Builder as you navigate islands with Malroth and fight against the Children of Hargon


Share the experience with other Builders.
Play with up to 3 other players via local wireless* or online** on the Isle of Awakening
Take screenshots with Snapshot Mode
Save favorite creations using the Magic Pencil


Additional recipes with DLC*** and by having save data on your system for the first DRAGON QUEST BUILDERS game.
Upcoming DLC will allow you to expand your craft and open additional islands
Save data from the first game will add recipes to craft the Legendary Builder’s outfit and Dragonlord’s Throne",DRAGON QUEST BUILDERS 2,/games/detail/dragon-quest-builders-2-switch,"'Nintendo Switch Game Voucher', 'DLC available', 'Demo available', 'Online Play via Nintendo Switch Online'",up to 4 players,94778adc-04b5-3273-b80f-48f254056a89,na,False,dragon-quest-builders-2-switch
20,'Available now','Puzzle',True,,'1+','Mario',"This title is also available for Android. Click here for details.
Use your puzzle skills to eliminate pesky viruses!

Match capsules with viruses and watch them disappear! Simply match three objects of the same color vertically or horizontally to clear them.
Luckily, Dr. Mario and friends have virus-busting skills, and you can use leftover half-capsules to strategically zero in on especially meddlesome viruses.
Take your time, because each puzzling configuration of viruses must be cleared using a limited number of capsules. Keep calm to plan your approach, and you'll rid the Dr. Mario's world of viruses in no time!

Paging Dr. Mario!

A colorful cast of viruses has Dr. Mario's world in a panic! Dr. Mario and friends have put on lab coats and grabbed capsules! Now they're ready to eliminate those unruly viruses.
Dr. Mario isn't the only one on call—Dr. Peach, Dr. Bowser, and others are on duty. Staff up with assistants like Goomba, Koopa Troopa, and Buzzy Beetle to help your doctors out with additional skills.
Doctors and assistants have various virus-busting skills, so experiment to find a combination that suits your style and pace.
Hundreds of stages over many different worlds are ready for you to save! New worlds, new doctors, and more will be delivered on a regular basis.

Play together with friends and family around the world!

You're not in this alone—send and receive stamina-giving hearts to use in stage mode! Then, show off your puzzle-solving progress.
In versus mode, you can turn up the intensity on your virus-busting by challenging others to a one-on-one showdown—without using hearts!
Find the right combo of doctor and assistants and aim for victory online to earn battle points and increase your tier!",Dr. Mario World,/games/detail/dr-mario-world-ios,,up to 2 players,71b1ac4d-cfee-3389-8dc7-675911ed8285,na,True,dr-mario-world-ios
21,'Available now','Puzzle',True,,'1+','Mario',"This title is also available for iOS. Click here for details.
Use your puzzle skills to eliminate pesky viruses!

Match capsules with viruses and watch them disappear! Simply match three objects of the same color vertically or horizontally to clear them.
Luckily, Dr. Mario and friends have virus-busting skills, and you can use leftover half-capsules to strategically zero in on especially meddlesome viruses.
Take your time, because each puzzling configuration of viruses must be cleared using a limited number of capsules. Keep calm to plan your approach, and you'll rid the Dr. Mario's world of viruses in no time!

Paging Dr. Mario!

A colorful cast of viruses has Dr. Mario's world in a panic! Dr. Mario and friends have put on lab coats and grabbed capsules! Now they're ready to eliminate those unruly viruses.
Dr. Mario isn't the only one on call—Dr. Peach, Dr. Bowser, and others are on duty. Staff up with assistants like Goomba, Koopa Troopa, and Buzzy Beetle to help your doctors out with additional skills.
Doctors and assistants have various virus-busting skills, so experiment to find a combination that suits your style and pace.
Hundreds of stages over many different worlds are ready for you to save! New worlds, new doctors, and more will be delivered on a regular basis.

Play together with friends and family around the world!

You're not in this alone—send and receive stamina-giving hearts to use in stage mode! Then, show off your puzzle-solving progress.
In versus mode, you can turn up the intensity on your virus-busting by challenging others to a one-on-one showdown—without using hearts!
Find the right combo of doctor and assistants and aim for victory online to earn battle points and increase your tier!",Dr. Mario World,/games/detail/dr-mario-world-android,,up to 2 players,2123e477-3916-355f-96df-c9888949cd5f,na,True,dr-mario-world-android
